application_id,prediction,approval_probability,ApplicantIncome,CoapplicantIncome,LoanAmount,Loan_Amount_Term,Credit_History,Total_Income,DTI,Gender_Female,Gender_Male,Married_No,Married_Yes,Dependents_0,Dependents_1,Dependents_2,Dependents_3+,Education_Graduate,Education_Not Graduate,Self_Employed_No,Self_Employed_Yes,Property_Area_Rural,Property_Area_Semiurban,Property_Area_Urban
LP001002,1,0.90323156,0.74504167,-0.9076561,0.1886926,-0.007612638,0.57662565,1.0710493,0.036290396,-0.059777714,-0.017653486,0.10365737,0.008578732,-0.1415692,0.05476947,-0.09614536,-0.052250914,0.28263935,0.022946524,0.028362066,0.0024747285,0.107091084,-0.42933482,-0.060654566
LP001003,1,0.5026986,-0.5781578,0.14916737,0.19517887,-0.044121753,0.6130903,0.02990683,0.05909257,-0.02345874,-0.008876636,-0.040836252,-0.000998746,0.07567977,-0.5430418,-0.082911186,-0.06551476,0.12945043,0.006786266,0.021079196,0.002732323,-0.32633758,-0.2957546,-0.039453454
LP001005,1,0.8127782,-0.5206134,-1.0836811,0.27981502,0.016021919,0.62632567,2.085674,0.059939183,-0.09579514,-0.02304029,0.25570917,0.019687386,-0.12111588,0.043672584,-0.046917595,-0.035212923,0.2181178,0.016061684,-0.4428442,-0.07326884,0.069974914,-0.44632348,-0.11211699
LP001006,1,0.9108003,-0.43516886,1.5586023,0.3868692,0.017204871,0.5868462,0.06976462,0.057937942,-0.045984898,-0.01408411,-0.012989339,0.0068701855,-0.028130755,0.09515052,-0.08920071,-0.021766713,-0.31676668,-0.016274303,0.07082202,0.0027074656,0.08987507,-0.37708494,-0.039848972
LP001008,1,0.8791443,0.739394,-0.90705425,0.11624117,-0.0087087555,0.5759954,0.9391703,0.03767484,-0.05577468,-0.013404133,0.105319336,0.008578732,-0.1612075,0.056670647,-0.09592986,-0.053538375,0.28283685,0.022946524,0.025312781,0.0024747285,0.103351094,-0.44608548,-0.06800601
LP001011,1,0.96639544,0.55357206,1.2211565,-0.95726514,0.001102983,0.58970004,0.3076957,0.015024523,-0.03246072,-0.003684095,0.029507471,0.005569971,0.32963884,0.05891128,0.9111781,-0.055242725,0.053846262,0.0037355083,-0.259543,-0.013816539,0.08044808,-0.1516019,-0.10665675
LP001013,1,0.96749854,-0.5099095,0.9570109,0.45553958,0.046920355,0.6694909,1.4278994,0.06477415,-0.06445009,-0.01752493,0.17891765,0.02573456,-0.04282855,0.0691069,-0.052847885,-0.013898991,-0.3435052,-0.027722036,0.0700992,0.0064214915,0.09367088,-0.34356707,-0.03400027
LP001014,0,0.34851286,-0.53388566,0.935175,0.013832675,-0.07852222,-3.6358802,0.7106144,-0.11897216,-0.015825717,-0.006849874,-0.14020617,-0.010280849,-0.009414356,0.20525238,-0.066431075,0.6215997,0.17992193,0.0083502345,0.030042082,0.0012210855,0.04298093,0.4611858,0.002414797
LP001018,1,0.9188049,-0.52039653,0.5242811,-0.37218046,-0.0016149856,0.65373987,0.74726826,0.0010621212,-0.028392384,-0.006912588,-0.04632533,-0.0009989793,0.03943762,0.12507848,0.56685865,-0.044732776,0.1782217,0.0068040364,0.030254746,0.0012701419,0.14648175,-0.30764058,-0.043441635
LP001020,0,0.29925156,1.0087628,1.3737502,-1.3616194,-0.06428108,0.43591484,-2.6543958,0.41641262,-0.023408214,-0.00722732,-0.003460336,0.0003967078,0.02683091,-0.81151277,-0.10648742,-0.032113746,0.030214543,0.0039108642,0.051538993,0.0034336615,0.084265016,0.09207906,-0.0919637
LP001024,1,0.8995312,-0.5448476,-0.05314878,0.35860056,-0.00181179,0.63209957,0.42998636,0.12136079,-0.042372383,-0.009373095,0.04704293,0.008177697,0.08876786,0.07636611,0.3921305,-0.02253651,0.13627115,0.013785331,0.06738739,0.004712522,0.09169362,-0.31722063,-0.06313978
LP001027,1,0.96990865,-0.5586111,1.187685,0.37537935,0.023845144,0.6562038,0.5436935,0.052929807,-0.025752239,-0.0016946933,0.036362708,0.015146118,0.080844514,0.084066935,0.36762366,-0.02318893,0.082112335,0.006654409,0.06613614,0.0032936046,0.07739801,-0.29273924,-0.06252055
LP001028,1,0.9457702,-0.6219548,1.9695406,-0.48325148,-0.010353005,0.56781036,-0.38104296,0.16240756,-0.030990127,-0.0066132396,0.012528805,0.0044939453,0.11749676,0.110617265,0.70949703,-0.04856436,0.052102137,0.0029606703,0.12146838,0.009655174,0.08490629,-0.31446373,0.052424077
LP001029,0,0.40122813,-2.4073343,1.2416707,0.21860343,-0.013942061,0.5557032,-0.25919712,0.045537535,-0.020294333,-0.0060630725,-0.03301309,-0.014776516,-0.044785988,0.12555255,-0.065591685,-0.033540774,0.06565116,0.0030050906,0.066252194,0.0024617524,-0.1863998,-0.44327575,0.02533127
