application_id,feature,shap_value,abs_shap,direction,rank,prediction,approval_probability
LP001002,ApplicantIncome,0.7450416684150696,0.7450416684150696,supports_approval,3,1,0.9032315611839294
LP001002,CoapplicantIncome,-0.9076560735702515,0.9076560735702515,supports_decline,2,1,0.9032315611839294
LP001002,LoanAmount,0.1886925995349884,0.1886925995349884,supports_approval,7,1,0.9032315611839294
LP001002,Loan_Amount_Term,-0.007612638175487518,0.007612638175487518,supports_decline,21,1,0.9032315611839294
LP001002,Credit_History,0.576625645160675,0.576625645160675,supports_approval,4,1,0.9032315611839294
LP001002,Total_Income,1.0710493326187134,1.0710493326187134,supports_approval,1,1,0.9032315611839294
LP001002,DTI,0.03629039600491524,0.03629039600491524,supports_approval,16,1,0.9032315611839294
LP001002,Gender_Female,-0.05977771431207657,0.05977771431207657,supports_decline,13,1,0.9032315611839294
LP001002,Gender_Male,-0.017653485760092735,0.017653485760092735,supports_decline,19,1,0.9032315611839294
LP001002,Married_No,0.10365737229585648,0.10365737229585648,supports_approval,10,1,0.9032315611839294
LP001002,Married_Yes,0.008578731678426266,0.008578731678426266,supports_approval,20,1,0.9032315611839294
LP001002,Dependents_0,-0.14156919717788696,0.14156919717788696,supports_decline,8,1,0.9032315611839294
LP001002,Dependents_1,0.054769471287727356,0.054769471287727356,supports_approval,14,1,0.9032315611839294
LP001002,Dependents_2,-0.09614536166191101,0.09614536166191101,supports_decline,11,1,0.9032315611839294
LP001002,Dependents_3+,-0.05225091427564621,0.05225091427564621,supports_decline,15,1,0.9032315611839294
LP001002,Education_Graduate,0.28263935446739197,0.28263935446739197,supports_approval,6,1,0.9032315611839294
LP001002,Education_Not Graduate,0.022946523502469063,0.022946523502469063,supports_approval,18,1,0.9032315611839294
LP001002,Self_Employed_No,0.02836206555366516,0.02836206555366516,supports_approval,17,1,0.9032315611839294
LP001002,Self_Employed_Yes,0.0024747285060584545,0.0024747285060584545,supports_approval,22,1,0.9032315611839294
LP001002,Property_Area_Rural,0.10709108412265778,0.10709108412265778,supports_approval,9,1,0.9032315611839294
LP001002,Property_Area_Semiurban,-0.429334819316864,0.429334819316864,supports_decline,5,1,0.9032315611839294
LP001002,Property_Area_Urban,-0.06065456569194794,0.06065456569194794,supports_decline,12,1,0.9032315611839294
LP001003,ApplicantIncome,-0.5781577825546265,0.5781577825546265,supports_decline,2,1,0.5026986002922058
LP001003,CoapplicantIncome,0.14916737377643585,0.14916737377643585,supports_approval,7,1,0.5026986002922058
LP001003,LoanAmount,0.19517886638641357,0.19517886638641357,supports_approval,6,1,0.5026986002922058
